unixtime, timestamp, slave_ID, co2, duty1, co2ave1, co2ave5, dutyave5, co2sd5, temp, pressure, humidity, gas, approx_altitude
1565513088.00,2019/8/11 8:44:21,255,708.00,11.15,735.33,752.92,14.87,NA,32.48,1018.76,47.63,356.58,-46.11
1565513344.00,2019/8/11 8:49:22,255,740.00,18.70,710.25,732.45,14.52,NA,32.53,1018.81,49.09,412.18,-46.52
1565513600.00,2019/8/11 8:54:22,255,732.00,263.81,744.25,765.75,266.69,NA,32.73,1018.81,47.04,414.20,-46.36
1565513984.00,2019/8/11 8:59:22,255,749.00,269.53,752.00,734.90,267.99,NA,32.74,1018.89,47.61,456.55,-47.02
1565514240.00,2019/8/11 9:4:22,255,703.00,282.47,641.17,724.20,271.75,NA,32.70,1018.93,45.68,558.22,-47.35
1565514624.00,2019/8/11 9:9:22,255,753.00,285.41,753.83,734.85,285.77,NA,32.97,1018.95,47.00,461.23,-47.35
1565514880.00,2019/8/11 9:14:22,255,762.00,289.89,767.83,735.22,292.51,NA,33.18,1018.99,43.53,556.83,-47.85
1565515136.00,2019/8/11 9:19:23,255,711.00,297.97,695.17,736.48,290.37,NA,33.48,1018.97,42.26,658.52,-47.35
1565515520.00,2019/8/11 9:24:23,255,666.00,317.43,663.58,705.98,303.69,NA,33.54,1018.99,40.72,745.11,-47.52
1565515776.00,2019/8/11 9:29:23,255,663.00,339.51,668.33,693.83,326.84,NA,33.58,1019.01,40.32,788.55,-48.01
1565516032.00,2019/8/11 9:34:23,255,749.00,347.91,763.00,716.17,347.44,NA,33.64,1019.07,43.42,630.21,-48.34
1565516416.00,2019/8/11 9:39:23,255,671.00,366.64,666.83,715.98,354.16,NA,33.85,1019.03,40.19,702.42,-48.18
1565516672.00,2019/8/11 9:44:23,255,742.00,374.25,722.75,722.73,370.49,NA,34.51,1019.05,39.30,725.08,-48.34
1565516928.00,2019/8/11 9:49:23,255,741.00,377.44,744.08,739.92,375.20,NA,34.79,1019.19,40.76,689.50,-49.34
1565517312.00,2019/8/11 9:54:24,255,750.00,380.03,731.17,745.17,377.25,NA,34.84,1019.19,41.64,626.11,-49.51
1565517568.00,2019/8/11 9:59:24,255,786.00,395.69,759.50,704.72,391.74,NA,35.14,1019.21,38.65,749.58,-49.84
1565517824.00,2019/8/11 10:4:24,255,744.00,384.85,743.17,762.65,385.17,NA,34.76,1019.34,39.65,728.21,-50.41
1565518208.00,2019/8/11 10:9:24,255,765.00,394.92,764.00,721.55,392.61,NA,34.73,1019.32,38.49,789.47,-50.58
1565518464.00,2019/8/11 10:14:24,255,749.00,409.08,730.92,718.95,403.73,NA,35.59,1019.34,37.46,783.06,-50.92
1565518720.00,2019/8/11 10:19:24,255,728.00,407.48,720.58,745.48,403.84,NA,35.60,1019.32,36.71,827.71,-50.41
1565519104.00,2019/8/11 10:24:25,255,741.00,411.15,743.58,737.77,409.10,NA,35.66,1019.38,36.96,853.35,-50.75
1565519360.00,2019/8/11 10:29:25,255,740.00,434.73,704.08,695.45,422.62,NA,34.57,1019.38,40.67,826.19,-50.92
1565519616.00,2019/8/11 10:34:25,255,731.00,440.49,728.92,733.53,436.93,NA,34.64,1019.40,39.85,791.33,-51.08
1565520000.00,2019/8/11 10:39:25,255,720.00,442.57,723.17,742.97,440.40,NA,34.64,1019.48,38.53,858.23,-51.90
